idade,genero,existe_alguma_rua_em_fortaleza_em_que_gostaria_de_ver_uma_ciclovia,por_que_escolheu_ou_escolhe_andar_de_bicicleta_agrupado,ha_quanto_tempo_utiliza_agrupado,qual_e_o_principal_problema_que_voce_enfrenta_ao_andar_de_bicicleta_em_fortaleza_agrupado,tem_medo_de_sofrer_acidentes_andando_de_bicicleta_em_Fortaleza_agrupado,sofreu_algum_acidente_no_último_ano_agrupado,gostaria_de_trocar_a_bicicleta_por_outro_meio_de_transporte_agrupado
33,Masculino,"...eu trabalhava na Messejana e todo aquele entorno ali do balão do Mudubim até a Messejana tem um espaço que dá pra fazer uma ciclofaixa, uma ciclovia, acho que seria interessante por lá...",Exercício e saúde,,Má qualidade das ciclovias,,,"Sim, por uma bicicleta elétrica"
27,Masculino,"No momento, eu só aconselho mesmo a fazer o monitoramento e os reparatos que já tem.",Preferência pessoal,,Buracos na ciclovia,"Sim, tenho medo de acidentes",Não,Não
39,Masculino,"E tem algum ambiente específico que o pessoal anda todo dia? O pessoal acha que tinha que ter ciclovia e não tem? Não. Na minha casa do trabalho é a. Ciclovia até eu chegar no trabalho, né? Tem. O ruim é só esses que não tem. O canteiro, né, que é só... Que. É só a pintura, né? É. E essas aí...",Custo \ É mais barato,Entre 3 e 5 anos,"Desrespeito dos motoristas ou Trânsito, Risco de acidentes","Sim, tenho medo de acidentes",Não,"Sim, por uma moto"
39 anos,Masculino,"Tem alguma rua de Fortaleza que você gostaria de ver um ciclovia ou ciclofaixa no seu trajeto, na sua região? Ah, não. Sei. No momento não tô com nada em mente, assim.",Custo \ É mais barato;Rapidez \ Tempo;Segurança no trânsito,,Buracos na ciclovia; Má qualidade das ciclovias,Não,Não,Não
51 anos.,,"Existe alguma rua em Fortaleza que você gostaria que tivesse ciclovia ou ciclofaixa? Ou melhorar alguma que já existe? Na 13 de maio. Aliás, três. Parece o mesmo distrito, não sei. Ali era muito bom, porque tem muita gente que circula por ali. Eu acho que não colocaram ainda, devido que o trânsito ali é muito intenso, né? Talvez dificulta a mobilidade pra onde? Acabei. Obrigada.",Exercício e saúde;Rapidez \ Tempo;Praticidade e conveniência,,Buracos na ciclovia; Outros obstáculos na ciclovia; Sinalização inadequada; Má qualidade das ciclovias,"Sim, tenho medo de acidentes",,Não
Quarenta,,"Existe alguma rua em Fortaleza que você gostaria que tivesse ciclopagem, ciclovia ou melhorar? Os olhos do pai. Essa parte aqui, ó. Até o sentido.",Rapidez \ Tempo,,Buracos na ciclovia; Desrespeito dos motoristas ou Trânsito,,Não,Não
42,Feminino,"Pra finalizar, tem alguma via que você ende ou que você saiba que não tem ciclofaixa, nem ciclovia que você. Ache que está precisando? Tem, tipo, do terminal do Siqueira, né? Que é ali. A Regional 5. Até aqui, isso, até aqui a Vila Peri não tem. Aí é o pedaço que a gente corre risco. Tem algum outro? Não, só que eu ando, só esse mesmo.",Exercício e saúde,,Invasão de carros ou motos na ciclovia,"Sim, tenho medo de acidentes",Não,Não
A idade não é mencionada no texto.,,"Tem alguma rua em Fortaleza que tu gostaria que tivesse ciclovias, ciclofaixo? Assim. No meu caso, essa daqui é a minha necessidade, né? Porque eu trabalho.",Praticidade e conveniência,,Medo de assaltos; Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,Não
20 anos,Masculino,"E existe alguma rua em Fortaleza que não tem ciclovias profaixas? Cara, eu sei que tem, mas agora de cabeça eu não tô lembrado, velho. Lembra a região? Ah, para a região ali da aldeota, sabe, Meirelles. Por ali. Os cantos que não tem ainda aqui.",Praticidade e conveniência;Rapidez \ Tempo,,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",,"Sim, por uma moto"
A idade da pessoa não está mencionada no texto.,Feminino,Existe alguma rua em Fortaleza que tu gostaria e se tivesse que me ouvir? Ainda não tem.,Rapidez \ Tempo; Praticidade e conveniência,,Nenhum dos itens,Não,Não,Não
22 anos,Masculino,"E existe alguma rua aqui na cidade que tu gostaria que tivesse ciclovia ou ciclofaixa que não tem, especificamente? A Avenida Doutor Silas Manguba, que eu uso bastante.",Custo \ É mais barato,,Buracos na ciclovia; Falta de ciclovias,,,Não
18 anos,Masculino,"E pra completar, existe alguma rua na cidade específica que tu queria que tivesse ciclopacho? Ou ciclovi não tem? Na Osório. Osório de Paiva. Osório de Paiva. Bacana. Obrigado, mano.",Preferência pessoal,,Outros obstáculos na ciclovia; Risco de acidentes,"Sim, tenho medo de acidentes",,Não
17 anos,Masculino,Existe alguma rua em Fortaleza que tu queria que tivesse um avião? Mas assim o nome o nome não sei mas a questão do centro que no centro assim é muito difícil assim ter. Às vezes o cara tem que dirigir assim andar numa rua que é com carro moto aí a questão é muito muito sei lá é meio que perigoso é complicado.,Exercício e saúde; Rapidez \ Tempo; Preferência pessoal,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,"Sim, por uma moto ou por um carro"
26 anos,Feminino,"E existe alguma rua em Fortaleza que tu queria que tivesse ciclovias e por parte não tem? Eu acho que aquela parte ali mais dentro do Maltese. Tem agora, mas ainda tá um pouco mal iluminada e não tá tão segura pro ciclista.",Exercício e saúde;Praticidade e conveniência,,Má qualidade das ciclovias; Buracos na ciclovia; Lixo na ciclovia; Desrespeito dos motoristas ou Trânsito; Outros obstáculos na ciclovia,"Sim, tenho medo de acidentes",Não,Não
39 anos,Masculino,"E a última pergunta, tem alguma rua de Fortaleza que você gostaria de ver um ciclovia ou ciclofaixa? Eu acho que o percurso que eu vou, daqui para o centro, todos tem, né? Mas tem algum trecho, alguma rua aí que tu acha que precisaria ter no teu trajeto? Não. Não? Tá bom. Obrigada.",Exercício e saúde,,Invasão de carros ou motos na ciclovia,"Sim, tenho medo de acidentes",,Não
52 anos,Masculino,"E tem alguma rua de Fortaleza que você gostaria de ver um ciclo fácil ou ciclo via? Aqui na João Pessoa não tem, né? E outra vinda agora que eu não tô lembrado no momento, mas... João. Pessoa, né? Agora a João Pessoa é muito perigosa. Tá bom. Obrigada.",Custo \ É mais barato;Preferência pessoal,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito; Invasão de carros ou motos na ciclovia,Não,Sim,"Sim, por uma moto"
48 anos,Masculino,"Tem alguma rua em Fortaleza que você gostaria de ver uma ciclofaixa ou ciclovia? É, porque aqui tem, mas eu... Mas tem alguma outra rua assim que você pensa que não tem ciclovia, que você gostaria que tivesse? No seu trajeto, no seu caminho? Não, no meu trajeto tem ida e volta. Tem, né? Mas tem nenhuma assim que você lembra assim, ah, se tivesse e tal? Não, né? Tá bom.",Exercício e saúde,,Desrespeito dos motoristas ou Trânsito,,Não,Não
