genero,idade,por_que_escolheu_ou_escolhe_andar_de_bicicleta_agrupado,ha_quanto_tempo_utiliza_agrupado,qual_e_o_principal_problema_que_voce_enfrenta_ao_andar_de_bicicleta_em_fortaleza_agrupado,tem_medo_de_sofrer_acidentes_andando_de_bicicleta_em_fortaleza_agrupado,sofreu_algum_acidente_no_ultimo_ano_agrupado,gostaria_de_trocar_a_bicicleta_por_outro_meio_de_transporte_agrupado,edicao,voce_tem_alguma_sugestao_para_melhorar_a_qualidade_e_o_conforto_ao_andar_de_bicicleta_em_fortaleza_agrupado,voce_gostaria_de_trocar_a_bicicleta_por_outro_meio_de_transporte_agrupado,ha_quanto_tempo_ciclista_agrupado,voce_tem_medo_de_sofrer_acidentes_agrupado,ja_sofreu_algum_acidente_no_ultimo_ano_agrupado,existe_alguma_rua_em_fortaleza_em_que_voce_gostaria_de_ver_uma_ciclovia_agrupado,em_que_rua_gostaria_de_ver_uma_ciclovia_agrupado
Male,44,Exercício e saúde;Praticidade e conveniência,,Desrespeito dos motoristas ou Trânsito; Falta de ciclovias,,,Não,071124,,,A informação de quanto tempo o respondente é ciclista não está presente no texto.,"Sim, tenho medo de acidentes",Sim,,
Male,41,Preferência pessoal,,Desrespeito dos motoristas ou Trânsito,,,Não,071124,,,A informação de quanto tempo o respondente é ciclista não está presente no texto.,Não,Não,,
Male,41,Exercício e saúde,,Desrespeito dos motoristas ou Trânsito,,,Não,071124,,,A informação de quanto tempo o respondente é ciclista não está presente no texto.,Não,Não,,
Male,37,Única opção,,Desrespeito dos motoristas ou Trânsito; Buracos na ciclovia; Outros obstáculos na ciclovia,,,"Sim, por uma moto",071124,,,A informação de quanto tempo o respondente é ciclista não está disponível no texto.,Não,Não,,
Male,48,Exercício e saúde;Rapidez \ Tempo;Praticidade e conveniência;Mais fácil,,Desrespeito dos motoristas ou Trânsito,,,Não,071124,,,A informação não está presente no texto.,"Sim, tenho medo de acidentes",Não,,
Male,56,Preferência pessoal,,Desrespeito dos motoristas ou Trânsito,,,Não,071124,,,Não há informações disponíveis.,"Sim, tenho medo de acidentes",Não,,
Male,47,Rapidez \ Tempo;Praticidade e conveniência,,Desrespeito dos motoristas ou Trânsito,,,Não,071124,,,Não se aplica,,Não,,
Male,18 years old,Rapidez \ Tempo,,Desrespeito dos motoristas ou Trânsito; Falta de ciclovias; Má qualidade das ciclovias,,,Não,071124,,,A informação de quanto tempo o respondente é ciclista não está disponível no texto.,"Sim, tenho medo de acidentes",Não,,
Male,28 anos,Exercício e saúde;Rapidez \ Tempo;Praticidade e conveniência,,Falta de ciclovias,,,"Sim, por uma bicicleta elétrica",071124,,,A informação não está disponível no texto para ser classificada.,"Sim, tenho medo de acidentes",Não,,
Masculine,42 years old,Preferência pessoal,,Desrespeito dos motoristas ou Trânsito; Invasão de carros ou motos na ciclovia,,,Não,071124,,,Mais de 5 anos,,Não,,
Male,37 years old,Rapidez \ Tempo; Custo \ É mais barato,,Falta de ciclovias,,,"Sim, por uma moto",071124,,,A informação não está disponível no texto.,A informação não está disponível no texto.,,,
Female,46,Exercício e saúde; Rapidez \ Tempo,,Buracos na ciclovia; Desrespeito dos motoristas ou Trânsito,,,Não,071124,,,A informação não está disponível no texto.,"Sim, tenho medo de acidentes",,,
Male,45,Exercício e saúde;Rapidez \ Tempo;Preferência pessoal,,Falta de ciclovias,,,Não,071124,,,A informação não está disponível no texto.,,,,
Female,23 years old,Única opção,,Desrespeito dos motoristas ou Trânsito,,,"Sim, por uma moto",071124,,,A informação de quanto tempo o respondente é ciclista não está disponível no texto.,"Sim, tenho medo de acidentes",Não,,
Feminine,35 anos,Rapidez \ Tempo,,Desrespeito dos motoristas ou Trânsito,,,"Sim, por uma moto",071124,,,N/A,"Sim, tenho medo de acidentes",Não,,
Male,56 years,Exercício e saúde,,Desrespeito dos motoristas ou Trânsito,,,Não,071124,,,A informação não está disponível no texto.,"Sim, tenho medo de acidentes",Não,,
Male,45 anos,Rapidez \ Tempo;Segurança no trânsito,,Desrespeito dos motoristas ou Trânsito,,,Não,071124,,,Mais de 5 anos,Não,,,
Male,54,Rapidez \ Tempo,,,,,Não,071124,,,A informação não está disponível no texto.,"Sim, tenho medo de acidentes",,,
Male,39,Rapidez \ Tempo; Praticidade e conveniência; Preferência pessoal,,Má qualidade das ciclovias; Outros obstáculos na ciclovia,,,Não,071124,,,Não há informações para classificar.,Não,Não,,
Male,41 anos,Exercício e saúde;Segurança no trânsito;Praticidade e conveniência,,"Risco de acidentes, Outros obstáculos na ciclovia",,,Não,071124,,,A informação de quanto tempo o respondente é ciclista não está presente no texto.,Não,Não,,
Male,56,Rapidez \ Tempo; Custo \ É mais barato; Preferência pessoal,,Buracos na ciclovia; Má qualidade das ciclovias,,,Não,071124,,,Mais de 5 anos,"Sim, tenho medo de acidentes",,,
Male,35,Rapidez \ Tempo; Praticidade e conveniência; Mais fácil,,Falta de ciclovias,,,"Sim, por uma moto",071124,,,A informação de quanto tempo o respondente é ciclista não está disponível no texto.,Não,Sim,,
Male,22 anos,Exercício e saúde,,Desrespeito dos motoristas ou Trânsito,,,"Sim, por um carro",071124,,,Não há informações disponíveis.,"Sim, tenho medo de acidentes",Não,,
Male,24 years old,Rapidez \ Tempo;Praticidade e conveniência;Exercício e saúde,,Buracos na ciclovia; Desrespeito dos motoristas ou Trânsito,,,Não,071124,,,A informação de quanto tempo o respondente é ciclista não está disponível no texto.,"Sim, tenho medo de acidentes",Não,,
Male,45,Rapidez \ Tempo;Mais fácil,,Desrespeito dos motoristas ou Trânsito,,,Não,071124,,,A informação de quanto tempo o respondente é ciclista não está presente no texto.,,Não,,
Male,45,Praticidade e conveniência;Mais fácil,,Buracos na ciclovia; Má qualidade das ciclovias; Sinalização inadequada; Lixo na ciclovia,,,"Sim, por uma moto",071124,,,Entre 1 e 2 anos,"Sim, tenho medo de acidentes",Não,,
Male,56,Segurança no trânsito;Rapidez \ Tempo,,Desrespeito dos motoristas ou Trânsito,,,Não,071124,,,A informação de quanto tempo o respondente é ciclista não está presente no texto.,Não,Não,,
Male,20,Exercício e saúde;Praticidade e conveniência,,Falta de ciclovias,,,"Sim, por uma bicicleta melhor",071124,,,A informação não está disponível no texto.,"Sim, tenho medo de acidentes",Não,,
Male,47,Praticidade e conveniência;Custo \ É mais barato,,Desrespeito dos motoristas ou Trânsito,,,"Sim, por uma bicicleta elétrica",071124,,,Mais de 5 anos,"Sim, tenho medo de acidentes",Sim,,
Masculine,Meia-cento,Praticidade e conveniência; Preferência pessoal,,Desrespeito dos motoristas ou Trânsito,,,"Sim, por uma moto",071124,,,A informação não está presente no texto.,"Sim, tenho medo de acidentes",Não,,
Male,43 years old,Rapidez \ Tempo;Praticidade e conveniência;Mais fácil,,Desrespeito dos motoristas ou Trânsito; Invasão de carros ou motos na ciclovia,,,,071124,,,Não há informações,Não,,,
Male,30 anos,Exercício e saúde;Praticidade e conveniência,,"Buracos na ciclovia, Outros obstáculos na ciclovia",,,Não,071124,,,A informação de quanto tempo o respondente é ciclista não está disponível no texto.,,Não,,
Male,41 years old,Rapidez \ Tempo;Preferência pessoal,,Desrespeito dos motoristas ou Trânsito,,,Não,071124,,,A informação não está disponível no texto.,,Não,,
Male,38,Rapidez \ Tempo;Custo \ É mais barato;Praticidade e conveniência,,Falta de ciclovias; Desrespeito dos motoristas ou Trânsito; Risco de acidentes,,,"Sim, por uma moto",071124,,,A informação não está disponível no texto.,"Sim, tenho medo de acidentes",Não,,
Male,45 anos,Exercício e saúde;Única opção,,Desrespeito dos motoristas ou Trânsito,,,"Sim, por uma moto.",071124,,,A informação de quanto tempo o respondente é ciclista não está presente no texto.,Não,,,
Male,27,Rapidez \ Tempo; Praticidade e conveniência,,Desrespeito dos motoristas ou Trânsito; Falta de ciclovias,,,Não,071124,,,Não aplicável,"Sim, tenho medo de acidentes",Não,,
Male,31 anos,Rapidez \ Tempo,,Buracos na ciclovia; Outros obstáculos na ciclovia,,,Não,071124,,,A informação não está disponível no texto.,,,,
Male,43,Exercício e saúde;Rapidez \ Tempo;Praticidade e conveniência;Preferência pessoal,,Desrespeito dos motoristas ou Trânsito; Outros obstáculos na ciclovia,,,Não,071124,,,A informação não está disponível no texto.,"Sim, tenho medo de acidentes",Não,,
Male,42,Exercício e saúde;Rapidez \ Tempo,,Desrespeito dos motoristas ou Trânsito; Invasão de carros ou motos na ciclovia; Risco de acidentes,,,"Sim, por uma moto",071124,,,Não há informações no texto para classificar.,"Sim, tenho medo de acidentes",Sim,,
Male,53,Exercício e saúde;Preferência pessoal,,Desrespeito dos motoristas ou Trânsito; Lixo na ciclovia; Invasão de carros ou motos na ciclovia; Outros obstáculos na ciclovia,,,Não,071124,,,Não há informações.,Não,Não,,
Male,37 anos,Rapidez \ Tempo; Praticidade e conveniência,,Buracos na ciclovia; Outros obstáculos na ciclovia; Desrespeito dos motoristas ou Trânsito; Risco de acidentes,,,Não,071124,,,A informação não está disponível no texto.,"Sim, tenho medo de acidentes",,,
Male,24,Preferência pessoal; Praticidade e conveniência,,Falta de ciclovias; Desrespeito dos motoristas ou Trânsito,,,Não,071124,,,Calculations are not supported. Please use the Gemini side panel instead.,,Não,,
Male,44 anos,Preferência pessoal,,Desrespeito dos motoristas ou Trânsito,,,Não,071124,,,Não há informações,,Não,,
Male,30 anos,Exercício e saúde;Rapidez \ Tempo,,Desrespeito dos motoristas ou Trânsito,,,Não,071124,,,A informação não está disponível no texto para ser classificada em nenhuma das categorias.,,,,
Male,44,Exercício e saúde;Rapidez \ Tempo;Praticidade e conveniência,,Desrespeito dos motoristas ou Trânsito; Invasão de carros ou motos na ciclovia,,,Não,071124,,,A informação de quanto tempo o respondente é ciclista não está disponível no texto.,,Não,,
Male,57 years old,Custo \ É mais barato;Única opção,,Medo de assaltos,,,"Sim, por uma moto",071124,,,A informação de há quanto tempo o respondente é ciclista não está disponível no texto.,Medo de assalto e de acidente,Sim,,
Male,44,Exercício e saúde;Rapidez \ Tempo,,Desrespeito dos motoristas ou Trânsito,,,Não,071124,,,A informação não está disponível no texto.,"Sim, tenho medo de acidentes",Não,,
Male,18 anos,Custo \ É mais barato,,Desrespeito dos motoristas ou Trânsito; Falta de ciclovias; Risco de acidentes,,,"Sim, por uma moto",071124,,,Não classificado,"Sim, tenho medo de acidentes",Sim,,
Male,46 anos,Rapidez \ Tempo;Custo \ É mais barato,,Buracos na ciclovia; Falta de ciclovias; Desrespeito dos motoristas ou Trânsito,,,Não,071124,,,A informação não está disponível.,,Não,,
Male,26,Exercício e saúde;Única opção,,Falta de ciclovias,,,"Sim, por uma moto",071124,,,Não há informações disponíveis para classificação.,,Não,,
Female,The text does not contain the age of the responder.,Exercício e saúde;Praticidade e conveniência,,Desrespeito dos motoristas ou Trânsito,,,Não,071124,,,A informação de quanto tempo o respondente é ciclista não está presente no texto.,"Sim, tenho medo de acidentes",Não,,
Female,41 years old,Exercício e saúde;Praticidade e conveniência;Rapidez \ Tempo,,Desrespeito dos motoristas ou Trânsito,,,Não,071124,,,A informação de quanto tempo a respondente é ciclista não está disponível no texto.,"Sim, tenho medo de acidentes",Não,,
Indeterminate,23,Exercício e saúde;Custo \ É mais barato,,Buracos na ciclovia; Má qualidade das ciclovias,,,"Sim, por uma moto",071124,,,A informação não está disponível no texto.,,,,
Female,31,Rapidez \ Tempo,,Desrespeito dos motoristas ou Trânsito; Risco de acidentes,,,Não,071124,,,A informação não está disponível no texto.,"Sim, tenho medo de acidentes",Não,,
Male,Calculations are not supported. Please use the Gemini side panel instead.,Rapidez \ Tempo,,Buracos na ciclovia; Má qualidade das ciclovias,,,Não,071124,,,Não há informações disponíveis para classificar.,,Não,,
Masculino,38,Rapidez \ Tempo; Praticidade e conveniência,,Desrespeito dos motoristas ou Trânsito; Risco de acidentes,,,"Sim, por um carro",071124,,,A informação de quanto tempo o respondente é ciclista não está presente no texto.,,Não,,
Masculine,54,Exercício e saúde;Preferência pessoal,,Desrespeito dos motoristas ou Trânsito,,,Não,071124,,,Mais de 5 anos,"Sim, tenho medo de acidentes",Sim,,
Female,32 anos,Rapidez \ Tempo; Praticidade e conveniência; Preferência pessoal,,Lixo na ciclovia; Buracos na ciclovia; Risco de acidentes,,,Não,071124,,,A informação não está presente no texto para ser classificada.,"Sim, tenho medo de acidentes",,,
Female,27,Rapidez \ Tempo; Praticidade e conveniência; Preferência pessoal,,Desrespeito dos motoristas ou Trânsito,,,Não,071124,,,A informação não está disponível no texto.,"Sim, tenho medo de acidentes",,,
Male,45 anos,Exercício e saúde; Praticidade e conveniência,,Desrespeito dos motoristas ou Trânsito,,,"Sim, por uma moto",071124,,,Informação não presente,,Não,,
Male,42 anos,Exercício e saúde; Rapidez \ Tempo; Mais fácil,,Buracos na ciclovia; Má qualidade das ciclovias; Falta de ciclovias,,,Não,071124,,,Entre 3 e 5 anos,"Sim, tenho medo de acidentes",,,
Male,59,Exercício e saúde; Preferência pessoal,,Falta de ciclovias; Outros obstáculos na ciclovia,,,Não,071124,,,A informação não está disponível no texto.,Não,Não,,
Male,55,Exercício e saúde;Rapidez \ Tempo,,Desrespeito dos motoristas ou Trânsito,,,Não,071124,,,A informação não está disponível no texto.,,Não,,
Female,51 anos,Rapidez \ Tempo;Praticidade e conveniência;Preferência pessoal,,Desrespeito dos motoristas ou Trânsito; Invasão de carros ou motos na ciclovia,,,Não,071124,,,Mais de 5 anos,"Sim, tenho medo de acidentes",Sim,,
Cannot be determined,29,Preferência pessoal; Exercício e saúde,,Desrespeito dos motoristas ou Trânsito; Risco de acidentes; Outros obstáculos na ciclovia; Má qualidade das ciclovias,,,Não,071124,,,A informação de quanto tempo o respondente é ciclista não está disponível no texto.,"Sim, tenho medo de acidentes",Sim,,
Male,54,Preferência pessoal,,"Falta de ciclovias, Má qualidade das ciclovias, Outros obstáculos na ciclovia",,,Não,071124,,,Mais de 5 anos,,Não,,
Female,50 years,Rapidez \ Tempo;Segurança no trânsito;Preferência pessoal,,Desrespeito dos motoristas ou Trânsito; Buracos na ciclovia,,,,071124,,,Mais de 5 anos,"Sim, tenho medo de acidentes",,,
Masculino,33,Exercício e saúde;Custo \ É mais barato,,Lixo na ciclovia,,,,180424,Melhora de qualidade das ciclovias;Conscietização dos motoristas,Não,,,,NA,
Masculino,31,Segurança no trânsito;Praticidade e conveniência,,Falta de ciclovias; Desrespeito dos motoristas ou Trânsito,,,,180424,Melhora de qualidade das ciclovias,Não,,,,João Pessoa,
Masculino,48,Exercício e saúde;Custo \ É mais barato,,Buracos na ciclovia,,,,180424,Melhora de qualidade das ciclovias,Não,,,,Augusto dos Anjos,
Masculino,55,Exercício e saúde;Custo \ É mais barato,,Desrespeito dos motoristas ou Trânsito,,,,180424,Conscietização dos motoristas,"Sim, por uma bicicleta elétrica",,,,Perimetral,
Masculino,24,Exercício e saúde;Custo \ É mais barato,,Desrespeito dos motoristas ou Trânsito,,,,180424,Melhoria da fiscalização;Segurança pública,Não,,,,João Pessoa/Silas Munguba,
Masculino,53,Única opção,,Buracos na ciclovia; Lixo na ciclovia,,,,180424,Melhora de qualidade das ciclovias,"Sim, por uma bicicleta elétrica",,,,Canantabra,
Masculino,36,Praticidade e conveniência;Mais fácil,,Desrespeito dos motoristas ou Trânsito,,,,180424,Conscietização dos motoristas;Melhoria da fiscalização;Segurança pública,Não,,,,NA,
Feminino,6,Custo \ É mais barato;Exercício e saúde,,Calor ou clima,,,,180424,,,,,,Parquinho,
Masculino,48,Rapidez \ Tempo;Praticidade e conveniência;Preferência pessoal,,Buracos na ciclovia; Má qualidade das ciclovias,,,,180424,Melhora de qualidade das ciclovias,"Sim, por uma bicicleta melhor",,,,Av perto do Detran,
Desconhecido,Desconhecida,Exercício e saúde;Custo \ É mais barato,,Não classificado/Desconhecida,,,,180424,,,,,,NA,
Masculino,54,Preferência pessoal,,Desrespeito dos motoristas ou Trânsito; Falta de ciclovias; Má qualidade das ciclovias,,,,180424,Expansão das ciclovias,Não,,,,Toda cidade,
Feminino,58,Segurança no trânsito;Preferência pessoal,,Desrespeito dos motoristas ou Trânsito,,,,180424,Conscietização dos motoristas;Melhoria da fiscalização,Não,,,,NA,
Masculino,38,Exercício e saúde;Custo \ É mais barato,,Buracos na ciclovia; Má qualidade das ciclovias;Falta de ciclovias,,,,180424,Melhora de qualidade das ciclovias,Não,,,,Perimetral/Presidente Costa e Silva,
Masculino,10,Custo \ É mais barato;Exercício e saúde,,Outros obstáculos na ciclovia,,,,180424,Conscietização dos motoristas;Segurança pública,Não,,,,NA,
Masculino,21,Exercício e saúde;Custo \ É mais barato,,Desrespeito dos motoristas ou Trânsito,,,,180424,Conscietização dos motoristas;Segurança pública,Não,,,,NA,
Masculino,23,Exercício e saúde;Custo \ É mais barato,,Falta de ciclovias; Buracos na ciclovia,,,,180424,Melhora de qualidade das ciclovias,Não,,,,João Pessoa,
Masculino,34,Exercício e saúde;Custo \ É mais barato,,Desrespeito dos motoristas ou Trânsito,,,,180424,Segurança pública;Melhoria da fiscalização;Conscietização dos motoristas,Não,,,,Maria Júlia/S Machina,
Masculino,53,Exercício e saúde;Custo \ É mais barato,,Desrespeito dos motoristas ou Trânsito; Má qualidade das ciclovias,,,,180424,Expansão das ciclovias;Limpeza das ciclovias;Conscietização dos motoristas,Não,,,,NA,
Masculino,14,Exercício e saúde;Custo \ É mais barato,,Risco de acidentes; Falta de ciclovias; Desrespeito dos motoristas ou Trânsito,,,,180424,Expansão das ciclovias;Conscietização dos motoristas,Não,,,,NA,
Masculino,26,Praticidade e conveniência;Preferência pessoal,,Desrespeito dos motoristas ou Trânsito; Falta de ciclovias,,,,180424,Melhora de qualidade das ciclovias;Conscietização dos motoristas,Não,,,,Osório de Paiva,
Masculino,55,Custo \ É mais barato;Exercício e saúde,,Calor ou clima; Desrespeito dos motoristas ou Trânsito; Outros obstáculos na ciclovia,,,,180424,Expansão das ciclovias,Não,,,,Zé Basta/Max,
Masculino,38,Exercício e saúde;Custo \ É mais barato,,Desrespeito dos motoristas ou Trânsito,,,,180424,,"Sim, por uma moto",,,,Carneiro de Mendonça,
Masculino,Não especificado,Exercício e saúde;Custo \ É mais barato,,Desrespeito dos motoristas ou Trânsito; Lixo na ciclovia; Outros obstáculos na ciclovia,,,,180424,,"Sim, por um carro",,,,Porto Velho/Rio de Jorge,
Masculino,50,Exercício e saúde;Custo \ É mais barato,,Desrespeito dos motoristas ou Trânsito,,,,180424,Melhoria da fiscalização;Segurança pública,Não,,,,Demócrito Rocha,
Masculino,46,Exercício e saúde;Custo \ É mais barato,,,,,,180424,,Não,,,,NA,
Feminino,47,Exercício e saúde;Custo \ É mais barato,,Falta de ciclovias,,,,180424,Melhora de qualidade das ciclovias,"Sim, por uma bicicleta melhor",,,,Carneiro de Mendonça/Zé Basta,
Masculino,20,Exercício e saúde;Custo \ É mais barato,,Falta de ciclovias; Desrespeito dos motoristas ou Trânsito,,,,180424,Conscietização dos motoristas;Melhoria da fiscalização,"Sim, por um carro",,,,Rocha Lima/vizinhas na Aldeota,
Masculino,Não especificado,Exercício e saúde;Custo \ É mais barato,,,,,,180424,,Não,,,,NA,
Feminino,42,Exercício e saúde;Custo \ É mais barato,,Desrespeito dos motoristas ou Trânsito; Buracos na ciclovia,,,,180424,Melhora de qualidade das ciclovias,Não,,,,Ceará,
Masculino,54,Exercício e saúde;Rapidez \ Tempo;Praticidade e conveniência,,Desrespeito dos motoristas ou Trânsito; Sinalização inadequada,,,,180424,Melhora de qualidade das ciclovias,Não,,,,NA,
Masculino,55,Custo \ É mais barato;Exercício e saúde,,Desrespeito dos motoristas ou Trânsito; Risco de acidentes,,,,180424,,Não,,,,São Zé Barco/Feira do Paraguai,
Masculino,38,Exercício e saúde;Custo \ É mais barato,,Buracos na ciclovia,,,,180424,Melhora de qualidade das ciclovias,Não,,,,NA,
Masculino,36,Praticidade e conveniência;Preferência pessoal,,Desrespeito dos motoristas ou Trânsito; Risco de acidentes,,,,180424,,"Sim, por uma moto",,,,Barão de Estúdio,
Masculino,19,Exercício e saúde;Custo \ É mais barato,,Desrespeito dos motoristas ou Trânsito,,,,180424,Expansão das ciclovias,"Sim, por uma moto",,,,Henrique Jorge/Fernandes Tavros,
Masculino,41,Custo \ É mais barato;Exercício e saúde,,Outros obstáculos na ciclovia,,,,180424,Melhora de qualidade das ciclovias,Não,,,,Terminal/João XXIII,
Masculino,42,Rapidez \ Tempo,,Falta de ciclovias,,,,180424,,Não,,,,João Pessoa/Osório,
Masculino,24,Exercício e saúde;Custo \ É mais barato,,Desrespeito dos motoristas ou Trânsito,,,,180424,,"Sim, por uma moto",,,,NA,
Feminino,45,Exercício e saúde;Custo \ É mais barato,,Desrespeito dos motoristas ou Trânsito; Falta de ciclovias,,,,180424,Expansão das ciclovias,Não,,,,Perto do trabalho,
Masculino,45,Rapidez \ Tempo;Praticidade e conveniência,,Desrespeito dos motoristas ou Trânsito,,,,180424,,Não,,,,NA,
Feminino,20,Praticidade e conveniência;Mais fácil;Preferência pessoal,,Desrespeito dos motoristas ou Trânsito,,,,180424,,"Sim, no futuro",,,,Maracanã,
Masculino,39,Exercício e saúde;Custo \ É mais barato,,Calor ou clima,,,,180424,,Não,,,,Após a Lagoa,
Masculino,45,Exercício e saúde;Custo \ É mais barato,,Desrespeito dos motoristas ou Trânsito,,,,180424,Melhora de qualidade das ciclovias;Limpeza das ciclovias,Não,,,,NA,
Feminino,32,Praticidade e conveniência;Única opção,,Buracos na ciclovia,,,,180424,Melhora de qualidade das ciclovias;Limpeza das ciclovias,"Sim, por uma bicicleta elétrica",,,,Perto do Hospital da Mulher,
Masculino,36,Praticidade e conveniência;Custo \ É mais barato;Mais fácil,,Desrespeito dos motoristas ou Trânsito,,,,180424,,Não,,,,Mais ciclofaixas em bairros,
Feminino,68,Exercício e saúde;Custo \ É mais barato,,Buracos na ciclovia; Lixo na ciclovia,,,,180424,,Não,,,,Na frente da casa,
Masculino,32,Rapidez \ Tempo;Mais fácil,,Falta de ciclovias; Desrespeito dos motoristas ou Trânsito,,,,180424,Expansão das ciclovias;Melhoria da fiscalização,Não,,,,Bernardo Manuel/Bom Jesus,
Masculino,Não informado,Exercício e saúde,,Buracos na ciclovia; Lixo na ciclovia,,,,180424,Expansão das ciclovias,Não,,,,Av em frente ao shopping Parangaba,
Masculino,11,Preferência pessoal,,Risco de acidentes; Medo de assaltos,,,,180424,,"Sim, por uma moto",,,,Perto da lagoa,
Masculino,29,Exercício e saúde;Custo \ É mais barato,,Desrespeito dos motoristas ou Trânsito,,,,180424,,Não,,,,Augusto dos Anjos,
Masculino,40,Exercício e saúde,Mais de 5 anos,Desrespeito dos motoristas;Risco de acidentes,"Sim, tenho medo de acidentes",Sim,"Sim, mas não especifica qual meio",190825,,,,,,,
Masculino,60,Exercício e saúde,Mais de 5 anos,Falta de ciclovias,"Sim, tenho medo de acidentes",Não,"Sim, mas não especifica qual meio",190825,,,,,,,
Masculino,57,Praticidade e conveniência; Preferência pessoal,,,"Sim, tenho medo de acidentes",Não,"Sim, mas não especifica qual meio",190825,,,,,,,
Masculino,52,Rapidez \ Tempo;Custo \ É mais barato,,Outros obstáculos na ciclovia; Má qualidade das ciclovias,"Sim, tenho medo de acidentes",Não,Não,190825,,,,,,,
Masculino,35,Preferência pessoal,Mais de 5 anos,Desrespeito dos motoristas;Risco de acidentes,Não,Não,Não,190825,,,,,,,
Feminino,44,Rapidez \ Tempo;Praticidade e conveniência,Menos de um ano,Outros obstáculos na ciclovia,"Sim, tenho medo de acidentes",Não,Não,190825,,,,,,,
Masculino,37,Rapidez \ Tempo; Praticidade e conveniência; Preferência pessoal,Entre 1 e 2 anos,Risco de acidentes;Desrespeito dos motoristas,Não,Não,Não,190825,,,,,,,
Feminino,41,Mais fácil,Entre 1 e 2 anos,Desrespeito dos motoristas,"Sim, tenho medo de acidentes",Não,Não,190825,,,,,,,
Masculino,48,Exercício e saúde; Rapidez \ Tempo,Mais de 5 anos,Desrespeito dos motoristas; Risco de acidentes,"Sim, tenho medo de acidentes",Não,"Sim, por uma moto",190825,,,,,,,
Masculino,25,Custo \ É mais barato,,Falta de ciclovias;Má qualidade das ciclovias;Risco de acidentes;Desrespeito dos motoristas,"Sim, tenho medo de acidentes",Não,,190825,,,,,,,
Masculino,30,Rapidez \ Tempo; Praticidade e conveniência; Mais fácil,,Desrespeito dos motoristas; Risco de acidentes,"Sim, tenho medo de acidentes",Sim,Não,190825,,,,,,,
Masculino,48,Exercício e saúde,Mais de 5 anos,Desrespeito dos motoristas; Risco de acidentes,"Sim, tenho medo de acidentes",Não,Não,190825,,,,,,,
Masculino,36,Rapidez \ Tempo;Praticidade e conveniência,,Má qualidade das ciclovias,"Sim, tenho medo de acidentes",Sim,Não,190825,,,,,,,
Feminino,26,Rapidez \ Tempo,Entre 1 e 2 anos,Desrespeito dos motoristas;Falta de ciclovias;Outros obstáculos na ciclovia,"Sim, tenho medo de acidentes",Sim,Não,190825,,,,,,,
Masculino,18,,Entre 1 e 2 anos,,Não,Não,"Sim, por um carro",190825,,,,,,,
Masculino,32,Única opção,,Falta de ciclovias,"Sim, tenho medo de acidentes",Não,"Sim, mas não especifica qual meio",190825,,,,,,,
Feminino,62,Rapidez \ Tempo; Praticidade e conveniência,Mais de 5 anos,Desrespeito dos motoristas; Invasão de carros ou motos na ciclovia,"Sim, tenho medo de acidentes",Não,"Sim, mas não especifica qual meio",190825,,,,,,,
Masculino,44,Praticidade e conveniência; Mais fácil,Entre 2 e 3 anos,Desrespeito dos motoristas,"Sim, tenho medo de acidentes",Sim,Não,190825,,,,,,,
Feminino,28,Exercício e saúde; Praticidade e conveniência; Rapidez \ Tempo,Menos de um ano,Outros obstáculos na ciclovia; Risco de acidentes,"Sim, tenho medo de acidentes",Não,Não,190825,,,,,,,
Masculino,70,Preferência pessoal,Menos de um ano,Risco de acidentes,"Sim, tenho medo de acidentes",Não,"Sim, mas não especifica qual meio",190825,,,,,,,
Masculino,51,Rapidez \ Tempo;Praticidade e conveniência,Menos de um ano,Desrespeito dos motoristas; Invasão de carros ou motos na ciclovia; Risco de acidentes,"Sim, tenho medo de acidentes",Sim,Não,190825,,,,,,,
Masculino,42,Exercício e saúde;Rapidez \ Tempo,,Falta de ciclovias,"Sim, tenho medo de acidentes",Sim,Não,190825,,,,,,,
Masculino,44,Única opção;Praticidade e conveniência,Menos de um ano,,"Sim, tenho medo de acidentes",Não,Não,190825,,,,,,,
Masculino,53,Rapidez \ Tempo,Entre 1 e 2 anos,Falta de ciclovias,Não,Não,Não,190825,,,,,,,
Feminino,48,Única opção;Preferência pessoal,Mais de 5 anos,Invasão de carros ou motos na ciclovia;Desrespeito dos motoristas,"Sim, tenho medo de acidentes",Não,"Sim, por uma bicicleta melhor",190825,,,,,,,
Masculino,42,Rapidez \ Tempo; Praticidade e conveniência,Entre 3 e 5 anos,Invasão de carros ou motos na ciclovia,"Sim, tenho medo de acidentes",Não,Não,190825,,,,,,,
Masculino,59,Preferência pessoal,Mais de 5 anos,Invasão de carros ou motos na ciclovia;Risco de acidentes,"Sim, tenho medo de acidentes",Não,Não,190825,,,,,,,
Masculino,40,Única opção,Mais de 5 anos,Outros obstáculos na ciclovia,"Sim, tenho medo de acidentes",Não,Não,190825,,,,,,,
Feminino,31,Rapidez \ Tempo,Entre 3 e 5 anos,"Desrespeito dos motoristas
Risco de acidentes",Não,Sim,Não,190825,,,,,,,
Masculino,20,Praticidade e conveniência,Entre 1 e 2 anos,Invasão de carros ou motos na ciclovia,Não,Não,"Sim, mas não especifica qual meio",190825,,,,,,,
Masculino,35,Exercício e saúde,Mais de 5 anos,Desrespeito dos motoristas,"Sim, tenho medo de acidentes",Sim,,190825,,,,,,,
