idade,genero,existe_alguma_rua_em_fortaleza_em_que_gostaria_de_ver_uma_ciclovia,por_que_escolheu_ou_escolhe_andar_de_bicicleta_agrupado,ha_quanto_tempo_utiliza_agrupado,qual_e_o_principal_problema_que_voce_enfrenta_ao_andar_de_bicicleta_em_fortaleza_agrupado,tem_medo_de_sofrer_acidentes_andando_de_bicicleta_em_fortaleza_agrupado,sofreu_algum_acidente_no_ultimo_ano_agrupado,gostaria_de_trocar_a_bicicleta_por_outro_meio_de_transporte_agrupado
44,Masculino,"Existe alguma rua em Fortaleza que não tem ciclopatia, mas que eu queria que tivesse hoje? Se não lembrar também... Não, eu não me lembro, não.",Exercício e saúde;Custo \ É mais barato,Mais de 5 anos,Falta de ciclovias,"Sim, tenho medo de acidentes",Não,Não
17 anos,Masculino,"Existe alguma rua de Fortaleza que tu passa sempre que não tem estofagem? Tu gostaria que tivesse ou acha que deveria ter? Eu acho que até Embédia deve ter. Embédia, né? Pra lá, né? Isso aí, uma roda não tem.",Rapidez \ Tempo;Praticidade e conveniência,Entre 1 e 2 anos,Lixo na ciclovia; Outros obstáculos na ciclovia,Não,Não,"Sim, mas não especifica qual meio"
18 anos. 19 anos.,Masculino,"Existe alguma rua em Fortaleza que tu gostaria que tivesse ciclovio ou ciclofaixa e hoje não tem? Vixe, de cabeça. Não cabe a se lembrar não.",Custo \ É mais barato,Menos de um ano,Falta de ciclovias,Não,Não,"Sim, por uma moto"
47,Masculino,"Tem alguma rua que você gostaria de sugerir ciclovia, que não tem ciclovia? É estreita a França do Sá. É porque é estreita demais.",Rapidez \ Tempo;Praticidade e conveniência,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Sim,Não
56,Masculino,Existe alguma rua que o senhor sempre passa que não tem a ciclofax? Que o pessoal acha que tem que ter lá? Pra se usar. Pra se usar. Não tem? Falou.,Única opção,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito; Risco de acidentes,"Sim, tenho medo de acidentes",Sim,"Sim, por uma bicicleta elétrica"
41,Masculino,"E existe alguma rua em Fortaleza que não tem ciclovia e ciclofaixa, mas tu queria que tivesse? Que eu conheço, não. Acho que quase todas que eu ando tem, tem ciclofaixa, né? Do caminho de carro até o trabalho, todas tem. Legal, legal. Obrigado, feliz. De nada.",Praticidade e conveniência;Preferência pessoal,Mais de 5 anos,"Desrespeito dos motoristas ou Trânsito, Risco de acidentes","Sim, tenho medo de acidentes",Não,Não
28 anos,Masculino,"Existe alguma rua em Fortaleza que tu gostaria que tivesse ciclobisco ou faixa? Alguma específica? Assim específica assim, não se passa agora na minha cabeça.",Mais fácil,Entre 2 e 3 anos,Falta de ciclovias,"Sim, tenho medo de acidentes",Não,Não
48,Feminino,"E existe alguma rua de Flacalés do Caçara Passa que não tem superfácil? A Caçara acha que deveria ter? Uma muito importante? Como eu sempre ando só aqui na Leste, né, não circulo nas outras avenidas. Eu nem te conheço. Não conheço, tá. Não sei te dizer.",Rapidez \ Tempo,Entre 3 e 5 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,"Sim, mas não especifica qual meio"
23 anos,Feminino,"E a última pergunta, tem alguma rua que tu acha que tinha que ter ciclovia, que hoje não tem, pra sugerir? Não, todas que eu pego consigo chegar tranquilo em casa.",Praticidade e conveniência;Custo \ É mais barato;Rapidez \ Tempo,Entre 2 e 3 anos,Outros obstáculos na ciclovia; Invasão de carros ou motos na ciclovia; Desrespeito dos motoristas ou Trânsito; Má qualidade das ciclovias,"Sim, tenho medo de acidentes",Sim,Não
48 anos,Masculino,"""Principalmente nessas, é que não é preciso saque, não tem escrovia, nem aqui na leste não, é bom, mas que não é preciso saque é. Bem perigoso.""",Rapidez \ Tempo,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,Não
47,Masculino,Existe alguma rua em Fortaleza que você gostaria que tivesse ciclovia ou ciclofagem que ainda não tem? Ciclofagem só.,Exercício e saúde,Menos de um ano,Desrespeito dos motoristas ou Trânsito; Invasão de carros ou motos na ciclovia,"Sim, tenho medo de acidentes",Sim,Não
A idade da pessoa não está mencionada no texto.,Feminino,Essa ciclovia pra gente ciclista ficou ótima.,Segurança no trânsito;Preferência pessoal,,Risco de acidentes,"Sim, tenho medo de acidentes",Não,
Não está especificada no texto.,Feminino,"Existe alguma rua em Fortaleza que você queria que tivesse ciclofaixa, essas protecçõezinhas, ciclovia? É porque eu ando só aqui na leste, né? Eu não ando em outros cantos pra... Pra as vivientes, né?",Preferência pessoal; Praticidade e conveniência,,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Sim,Não
47 anos,Feminino,"Existe alguma rua em Fortaleza que tu queria que tivesse cicloviso com a Paxela? Não tem hoje? Francisco Sá. Eu ando lá toda me tremendo. Sofri dois acidentes já lá. Parece assim, aqueles velhos com mal de Pax. Não tem a calçada, não vai até o fio de pedra. Aí fica aquele buracão, você cai lá direto. Não tem como. Francisco Sá.",Rapidez \ Tempo; Segurança no trânsito; Preferência pessoal,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito; Outros obstáculos na ciclovia,"Sim, tenho medo de acidentes",Não,"Sim, mas não especifica qual meio"
53,"Feminino (Senhora, Zeni, pronome 'a' em ""a senhora"")","Existe alguma rua que a senhora sempre passa que não tem escovafagem e a senhora acha que deveria ter? Não, eu sempre ando por aqui.",Única opção; Exercício e saúde,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Sim,Não
47,Masculino,"E última pergunta, tem alguma rua que tu queria sugerir ciclofaixa que não tem hoje? Que tu lembra assim pra sugerir ou não?",Rapidez \ Tempo,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,Não,Não,Não
28 anos,Masculino,"E existe alguma rua em Fortaleza que tu queria que tivesse ciclovínio, ciclopacha e hoje ela não tem? Sim. Lembra o sentido de cabeça? Avenida Doutor Tembeige.",Exercício e saúde,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,"Sim, por uma moto"
"32 anos, ou 43 anos.",Masculino,"Existe alguma rua em Fortaleza que você gostaria que tivesse essa proteção, faixa, ciclovia, que ainda não tem? Precisa expulsar a completa. Porque só tem uma parte só, né?",Rapidez \ Tempo; Praticidade e conveniência,,Invasão de carros ou motos na ciclovia,"Sim, tenho medo de acidentes",Sim,Não
16 anos,Masculino,"Existe alguma rua em Fortaleza que você queria que tivesse envolvido? Alguma faixa? Alguma específica? Não, o ciclo-ceba não, porque eu ando só por aqui mesmo.",Rapidez \ Tempo; Mais fácil,Entre 2 e 3 anos,Falta de ciclovias; Risco de acidentes; Desrespeito dos motoristas ou Trânsito,Não,Não,"Sim, mas não especifica qual meio"
63 anos,Masculino,"E existe alguma rua em Fortaleza que tu queria que tivesse ciclovia ou ciclofaixa e não tem hoje? Em todo canto. Onde puder. A maioria de ciclovia. Só tem mais por aqui. Onde puder colocar, coloca. Onde puder colocar, coloque.",Praticidade e conveniência; Única opção,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,Não
43 anos,Masculino,"Existe alguma rua em Fortaleza que você queria que tivesse uma ciclofaixa, uma ciclovia, uma estrutura como essa? Seria melhor, né? Porque Fortaleza melhorou, porque melhorou quase a ciclovia, mas tem rua que ainda falta, né?",Preferência pessoal,Entre 2 e 3 anos,Outros obstáculos na ciclovia,Não,Não,Não
61,Masculino,"Existe alguma rua de Fortaleza que o senhor passe, que não tem a ciclofaixa, que o senhor acha que é muito importante que tem? Na verdade, não. É uma rua de Fortaleza assim, não. É mais por. Aqui, na Leste-Oeste, né?",Exercício e saúde,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito; Sinalização inadequada,"Sim, tenho medo de acidentes",Sim,Não
39 anos,Masculino,"Tem alguma rua que não tem ciclovia que você acha que deveria ter para sugerir? Aqui quando chega ali no Marina Park, né? depois de marinho na parque você tem que pegar descendo pra praia, se o viaduto tivesse reto né, facilitaria, melhoraria, melhorava mais né, porque eu tenho que descer pra praia pra poder, eu trabalho ali na Moção Tabosa né, aí o viaduto e a Moção Tabosa né, aí eu tenho que disputar com os carros então descer pra andar mais um pouquinho né.",Custo \ É mais barato; Única opção,Entre 1 e 2 anos,Desrespeito dos motoristas ou Trânsito; Lixo na ciclovia; Outros obstáculos na ciclovia,"Sim, tenho medo de acidentes",Não,"Sim, por uma bicicleta elétrica"
A idade da pessoa não está presente no texto fornecido.,O texto não contém elementos gramaticais que definam o gênero de uma pessoa.,"A informação de que a pessoa gostaria de ver uma ciclovia em alguma rua de Fortaleza não está presente no texto. O texto menciona um problema em uma ciclovia já existente (""lixo na ciclovia da Leste a Oeste"").",Preferência pessoal,,Lixo na ciclovia,,Não,Não
A idade da pessoa não está presente no texto.,"O texto fornecido não contém artigos, adjetivos, nomes ou pronomes que permitam determinar o gênero de uma pessoa.","Áudio de demanda, ciclovia da Leste a Oeste",Preferência pessoal,,Outros obstáculos na ciclovia,,Não,
32 anos,Masculino,E existe alguma rua aqui em Fortaleza que tu queria que tivesse ciclovia ou ciclopatia e não tem? Há 13 de maio. 13 de maio. Muito importante.,Segurança no trânsito;Rapidez \ Tempo,Mais de 5 anos,Lixo na ciclovia; Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Sim,Não
28 anos,"Não é possível identificar o gênero da pessoa no texto, pois o vocabulário utilizado está no neutro ou na primeira pessoa do singular (""eu""), sem artigos, adjetivos ou pronomes que indiquem explicitamente o gênero masculino ou feminino.","Não, porque eu não conheço muito aí.",Preferência pessoal,Menos de um ano,Lixo na ciclovia; Outros obstáculos na ciclovia,"Sim, tenho medo de acidentes",Não,"Sim, por uma moto"
52,Masculino,"E existe alguma rua que você passa todo dia, que você passa sempre, que não tenha ciclovia, nem ciclofaixa, que você acha que deveria ter? É porque as que euPharmaceutical, eu sempre tenho. Geralmente tem.",Rapidez \ Tempo,Mais de 5 anos,Má qualidade das ciclovias; Outros obstáculos na ciclovia; Lixo na ciclovia,,Sim,Não
55,Masculino,"Existe alguma rua em Fortaleza que você gostaria que tivesse uma ciclofax, uma ciclovia, que ainda não tem? Não, por causa que eu ando, sempre tem. Sempre tem, né? É, sempre tem. Guanabi, aqui, né? Sempre tem.",Exercício e saúde;Rapidez \ Tempo;Praticidade e conveniência,Entre 1 e 2 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,"Sim, por um carro"
A idade da pessoa não está mencionada no texto.,Feminino,O texto não menciona se a pessoa gostaria de ver uma ciclovia em alguma rua de Fortaleza. O elogio é sobre canteiros.,,,Desrespeito dos motoristas ou Trânsito,,Não,Não
51 anos de idade,Masculino,"Existe alguma rua infantaleza que tu queria que tivesse ciclovia ou ciclofaixa e não tem hoje? Até que eu ando pouco, rapaz, por aqui. Ah, eu? Não lembra não, né? Não, não. Tranquilo, valeu. Porque aqui é a Francisco Sá, né? Que a Francisco Sá não tem condições de fazer essa faixa porque é muito estreita.",Única opção,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito; Risco de acidentes,"Sim, tenho medo de acidentes",Sim,"Sim, por uma moto"
45 anos,Masculino,"Existe alguma rua em Fortaleza que você queria que tivesse uma ciclofaixa, uma ciclovia? Uma rua... Ainda não tem? Ou uma que está ruim e que queira melhorar? Uma que está ruim para melhorar e não é de uso.",Rapidez \ Tempo;Exercício e saúde,,Desrespeito dos motoristas ou Trânsito; Invasão de carros ou motos na ciclovia,"Sim, tenho medo de acidentes",Não,Não
32 anos,Masculino,"E existe alguma rua que tu passa sempre, assim, que deveria ter uma ciclofaixa e não tem? Tu acha que deveria ter? Rapaz, na... 3 de maio. 3 de maio. 3 de maio. Preciso. É tanto que eu mudei para o meu percurso agora. Eu vou, eu tô indo pela Domingos Olímpicos. Sim.",Preferência pessoal;Exercício e saúde,Entre 1 e 2 anos,Falta de ciclovias; Outros obstáculos na ciclovia,"Sim, tenho medo de acidentes",Não,Não
38 anos,Feminino,"Existe alguma rua em Fortaleza que você gostaria que tivesse uma ciclofaixa, uma ciclovia? Que ainda não tem? Ou alguma que tá ruim, que queira melhorar? Eu ando só por aqui, né? Eu acho que não.",Preferência pessoal;Exercício e saúde,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito; Risco de acidentes,"Sim, tenho medo de acidentes",Não,Não
9 anos,Feminino,"E as ciclovias que tem na rua, tem algum canto que tu acha que tinha que ter ciclovia, que não tem? Ou todo canto? Como assim, ciclovia? Ciclovia é essa parte aqui, né? Se tem algum local que tu anda que não tem ciclovia, ou em geral, tu anda onde? Aqui na Leste ou Oeste? Na Barra? Onde é que você costuma andar?",Exercício e saúde;Preferência pessoal,Mais de 5 anos,Outros obstáculos na ciclovia,"Sim, tenho medo de acidentes",Sim,Não
49 anos,Feminino,"Tem alguma rua aqui em Fortaleza que você gostaria que tivesse ciclovias ou ciclopasses? Não tem hoje? É porque assim, eu não ando tanto, tá entendendo? Eu ando mais é porque eu trabalho aqui, perto da Francisco Sá, e o meu caminho é mais esse. Aí eu fui lá no Pirambu, aí agora...",Rapidez \ Tempo,Menos de um ano,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Sim,Não
35,Masculino,"Existe alguma rua de Fortaleza que tu acha que tem que ter ciclofaxe? Tu passa sempre assim, né? Que é muito importante ter ciclofaxe. Não tem? Caramba. É difícil que eu. Faço esse percurso contigo, né?",Exercício e saúde; Praticidade e conveniência,Menos de um ano,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Sim,
10 anos,Masculino,E existe alguma rua em Fortaleza que tu queria que tivesse ciclovia ou ciclofaixa? E hoje não tem? Quando tu vai passear? Não.,Preferência pessoal,Entre 3 e 5 anos,Desrespeito dos motoristas ou Trânsito; Buracos na ciclovia,Não,Sim,Não
54 anos,Masculino,"Existe alguma rua em Fortaleza que você gostaria que tivesse uma ciclovia, uma ciclofática? Todas. Todas aí? Gostaria que todas tivessem uma ciclovia, todas.",Exercício e saúde,Entre 3 e 5 anos,Medo de assaltos,"Sim, tenho medo de acidentes",Sim,Não
25,Feminino,"E tem alguma rua que tu passa sempre assim, que não tem ciclofaxe, que tu acha que seria muito importante que. Tivesse? Lá, não sei se o meu caminho, porque eu trabalho ali no Buraco da Gira. Aí a. Ciclofaxe só vai até a Catedral. Sim, aquela rua que passa... Quando chega o. Resto, aí eu vou com Deus, porque... Aquela rua que é à frente do passo principal, né? É. Pronto, agora. Ali não tem mais. Aí eu vou com Deus, no meio dos carros.",Praticidade e conveniência,Menos de um ano,Lixo na ciclovia; Outros obstáculos na ciclovia,"Sim, tenho medo de acidentes",Não,Não
46 anos,Feminino,"Existe alguma rua em Fortaleza que você gostaria que tivesse uma ciclovia ou uma ciclofaixa? Não, porque sempre é o que eu ando que já tem aqui na avenida, porque eu moro aqui do lado.",Rapidez \ Tempo; Única opção,Entre 3 e 5 anos,Desrespeito dos motoristas ou Trânsito; Lixo na ciclovia,"Sim, tenho medo de acidentes",Não,Não
A idade da pessoa não está mencionada no texto.,"Não é possível determinar o gênero da pessoa com base nos artigos, adjetivos, nomes e pronomes utilizados no texto (""o ruim,"" ""a gente,"" ""eu,"" ""mim"").","A informação se a pessoa gostaria de ver uma ciclovia em alguma rua de Fortaleza não está presente no texto. O trecho menciona problemas com lixo em uma ""ciclopacha"" existente.",,,Lixo na ciclovia,,Não,Não
31 anos,Feminino,"E existe alguma rua em Fortaleza que tu queria que tivesse pelo Rio se a tua faixa não tivesse? A parte da... eu não sei se é a Trem Badge... A Trem Badge descendo, tipo, que vai até o trilho, ela não tem ciclofaixa, se ela tivesse pelo menos uma faixazinha para os ciclistas, facilitaria muito. Porque quando eu pego, tipo, para ir para o Rio Mar Kennedy, com a minha filha, meu esposo, se ali tivesse, facilitaria demais. A Francisco Sá, a maioria tem. Tem uma parte que não tem, mas a maioria da Francisco Sá tem no lado direito.",Exercício e saúde;Praticidade e conveniência,Menos de um ano,Falta de ciclovias; Desrespeito dos motoristas ou Trânsito; Risco de acidentes,"Sim, tenho medo de acidentes",Não,Não
47 anos,Masculino,"Existe alguma rua em Fortaleza que você gostaria que tivesse uma ciclovia, uma ciclofaixa? Não. Que ainda não tem? Não, não sei me dizer não, porque eu não ando muito pelas bicicletas, eu ando só mais aqui ao redor da fila, do meu trabalho, da minha casa.",Praticidade e conveniência;Segurança no trânsito;Única opção,,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Sim,Não
30,Feminino,Só ver que o carro entra assim no meio e puder se pôr a parte das bicicletas aí fica bem em cima.,Segurança no trânsito; Rapidez \ Tempo,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito; Invasão de carros ou motos na ciclovia,Não,Não,Não
48,"Não é possível determinar o gênero da pessoa entrevistada com base nos pronomes, artigos ou adjetivos utilizados no texto.","Existe alguma rua em Fortaleza que você gostaria de ver uma ciclovia ou ciclofaixa? Um sistema como esse, com proteção? Acho que em vários das ruas tem já.",Exercício e saúde,Entre 1 e 2 anos,Desrespeito dos motoristas ou Trânsito; Risco de acidentes,Não,Não,Não
41,Feminino,"Existe alguma rua em Fortaleza que você gostaria que tivesse uma ciclovia ou ciclofaxe, que ainda não tem? Eu não sei ainda qual não tem, porque eu não ando muito pela asa, né? Eu só faço esse trajeto, às vezes eu vou até a beira-mar. Mas é bom se melhorar as ruas, porque tem ruas ainda muito movimentadas. Eu só não sei lhe dizer qual, mas tem.",Exercício e saúde;Preferência pessoal,Entre 2 e 3 anos,Lixo na ciclovia; Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Sim,Não
53 anos,Feminino,"E tem alguma rua aqui em Fortaleza que tu gostaria que tivesse ciclovia ou ciclopaxa e não tem? A gente já tem esse trajeto aqui todo dia, entendeu?",Exercício e saúde;Mais fácil,Entre 2 e 3 anos,Desrespeito dos motoristas ou Trânsito; Buracos na ciclovia; Lixo na ciclovia; Risco de acidentes; Outros obstáculos na ciclovia,Não,Não,Não
